GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Coordinator-app,com.Divan.coordinator,DiscussionManager,1,139,0,6,1,30,0,9,0,6
Coordinator-app,com.Divan.coordinator,StudyGroup,0,208,1,13,0,59,1,14,0,8
Coordinator-app,com.Divan.coordinator,User,0,40,0,0,0,15,0,8,0,8
Coordinator-app,com.Divan.coordinator,Resource,0,44,0,0,0,17,0,8,0,8
Coordinator-app,com.Divan.coordinator,CoordinatorApp,9,1022,11,102,6,331,13,70,2,17
Coordinator-app,com.Divan.coordinator,Session,0,44,0,0,0,17,0,8,0,8
Coordinator-app,com.Divan.coordinator,ViewGroups,0,132,1,11,0,29,1,8,0,3
Coordinator-app,com.Divan.coordinator,ResourceManager,6,121,0,8,3,29,0,11,0,7
Coordinator-app,com.Divan.coordinator,SessionManager,6,120,1,7,3,29,1,10,0,7
Coordinator-app,com.Divan.coordinator,Account,2,364,2,43,2,99,2,32,0,11
Coordinator-app,com.Divan.coordinator,FileUtility,4,38,0,0,2,11,1,2,1,2
Coordinator-app,com.Divan.coordinator,Discussion,0,33,0,0,0,12,0,6,0,6
